Key,Type,Desc,English,Korean,Japanese,German,Spanish,Portuguese (Brazil),Vietnamese,Russian,Indonesian,Thai,French,$Arabic,Hindi,Turkish
Remove ads,Text,,Remove Ads,광고 제거,広告を削除,Werbung Entfernen,Eliminar Anuncios,Remover Anúncios,Bỏ quảng cáo,Убрать Pекламу,Hapus Iklan,เอาโฆษณาออก,Retirer les pubs,إزالة الإعلانات,ऐड्स हटाएँ,Reklamları Kaldır
Remove banner ads,Text,,Remove banner ads,배너 광고 제거,バナー広告を削除,Bannerwerbung entfernen,Eliminar banners,Remover anúncios de banner,Bỏ quảng cáo banner,Убрать баннерную рекламу,Hapus iklan banner,เอาแบนเนอร์โฆษณาออก,Retirer les bannières pub,إزالة إعلانات البانر,बैनर ऐड्स हटाएँ,Afiş reklamlarını kaldır
Remove instructive ads,Text,,Remove instructive ads,안내 광고 제거,案内広告を削除,Anleitungsanzeigen entfernen,Eliminar anuncios instructivos,Remover anúncios instrutivos,Bỏ quảng cáo hướng dẫn,Убрать рекламные инструкции,Hapus iklan instruktif,เอาโฆษณาแบบสอนออก,Retirer les pubs instructives,إزالة الإعلانات الإرشادية,इंस्ट्रक्टिव ऐड्स हटाएँ,Öğretici reklamları kaldır
Remove intrusive ads,Text,,Remove intrusive ads,방해되는 광고 제거,邪魔な広告を削除,Aufdringliche Werbung entfernen,Eliminar anuncios intrusivos,Remover anúncios invasivos,Gỡ bỏ quảng cáo gây phiền,Удалить навязчивую рекламу,Hapus iklan yang mengganggu,ลบโฆษณาที่รบกวน,Supprimer les publicités intrusives,إزالة الإعلانات المزعجة,चुभने वाले विज्ञापन हटाएँ,Rahatsız edici reklamları kaldır
Replay,Text,,Replay,다시 하기,リプレイ,Wiederholen,Repetir,Repetir,Chơi lại,Переиграть,Main Ulang,เล่นซ้ำ,Rejouer,إعادة اللعب,फिर से खेलें,Yeniden Oyna
Request,Text,,Request,요청,リクエスト,Anfrage,Solicitud,Solicitação,Yêu cầu,Запрос,Permintaan,คำขอ,Demande,طلب,अनुरोध,İstek
Request is on cooldown. Please wait,Text,,Request is on cooldown. Please wait,요청이 쿨다운 상태입니다. 잠시만 기다려주세요.,リクエストはクールダウン中です。しばらくお待ちください。,Anfrage in Abklingzeit. Bitte warten.,"La solicitud está en enfriamiento. Por favor, espera.","A solicitação está em recarga. Aguarde, por favor.",Yêu cầu đang trong thời gian chờ. Vui lòng đợi.,"Запрос на перезарядке. Пожалуйста, подождите.",Permintaan sedang dalam masa jeda. Harap tunggu.,คำขอกำลังอยู่ในช่วงคูลดาวน์ โปรดรอสักครู่,La requête est en cours de recharge. Veuillez patienter.,الطلب في فترة التهدئة. يُرجى الانتظار.,अनुरोध कूलडाउन पर है। कृपया प्रतीक्षा करें।,İstek bekleme süresinde. Lütfen bekle
Request sent!,Text,,Request sent!,요청이 전송되었습니다!,リクエストを送信しました！,Anfrage gesendet!,¡Solicitud enviada!,Pedido enviado!,Yêu cầu đã được gửi!,Запрос отправлен!,Permintaan terkirim!,ส่งคำขอแล้ว!,Demande envoyée !,تم إرسال الطلب!,अनुरोध भेजा गया!,Istek gönderildi!
Required Level,Text,,Required Level,요구 레벨,必要レベル,Erforderliches Level,Nivel requerido,Nível necessário,Cấp độ yêu cầu,Требуемый уровень,Level diperlukan,เลเวลที่ต้องการ,Niveau requis,المستوى المطلوب,आवश्यक स्तर,Gerekli Seviye
Restore,Text,,Restore,복원하기,復元,Wiederherstellen,Restaurar,Restaurar,Khôi phục,Восстановить,Pulihkan,กู้คืน,Restaurer,استعادة,पुनर्स्थापित करें,Geri Yükle
Restore success!,Text,,Restore success!,복원 성공!,復元成功！,Wiederherstellung erfolgreich!,¡Restauración exitosa!,Restauração bem-sucedida!,Khôi phục thành công!,Восстановление успешно!,Pemulihan berhasil!,กู้คืนสำเร็จ!,Restauration réussie !,تمت الاستعادة بنجاح!,रीस्टोर सफल!,Başarıyla geri yüklendi!
Retry,Text,,Retry,재시도,再試行,Erneut versuchen,Intentar de nuevo,Tentar novamente,Thử lại,Повторить,Coba Lagi,ลองอีกครั้ง,Réessayer,أعد المحاولة,फिर कोशिश करें,Tekrar Dene
Revival Bundle,Text,,Revival Bundle,부활 번들,復活バンドル,Wiederbelebungspaket,Paquete de reactivación,Pacote de renascimento,Gói hồi sinh,Набор возрождения,Paket Kebangkitan,ชุดฟื้นคืน,Pack de réanimation,حزمة الإحياء,रिवाइवल बंडल,Diriliş Paketi
Revival Bundle Premium,Text,,Revival Bundle Premium,부활 프리미엄 번들,リバイバルプレミアムバンドル,Wiederbelebungs-Premium-Paket,Paquete de reanimación Premium,Pacote de Reviver Premium,Gói hồi sinh cao cấp,Премиум-набор Возрождения,Paket Premium Kebangkitan,แพ็คเกจพรีเมียมฟื้นคืนชีพ,Pack Premium de Réanimation,حزمة إحياء بريميوم,पुनर्जीवन प्रीमियम बंडल,Premium Diriliş Paketi
Revival Bundle Pro,Text,,Revival Bundle Pro,부활 프로 번들,リバイバルプロバンドル,Wiederbelebungs-Pro-Paket,Paquete de reanimación Pro,Pacote de Reviver Pro,Gói hồi sinh Pro,Про-набор Возрождения,Paket Pro Kebangkitan,แพ็คเกจโปรฟื้นคืนชีพ,Pack Pro de Réanimation,حزمة إحياء برو,पुनर्जीवन प्रो बंडल,Diriliş Paketi Pro
Revive Bundle,Text,,Revive Bundle,리바이브 번들,リバイブバンドル,Wiederbelebungspaket,Paquete de reanimación,Pacote de reviver,Gói hồi sinh,Пакет возрождения,Paket hidup kembali,ชุดฟื้นคืนชีพ,Pack de réanimation,حزمة الإحياء,पुनर्जीवन बंडल,Yeniden Canlanma Paketi
Revive Bundle Legend,Text,,Revive Bundle Legend,리바이브 번들 레전드,リバイブバンドルレジェンド,Wiederbelebungspaket Legende,Paquete de reanimación Leyenda,Pacote de reviver Lenda,Gói hồi sinh Huyền thoại,Пакет возрождения Легенда,Paket hidup kembali Legenda,ชุดฟื้นคืนชีพตำนาน,Pack de réanimation Légende,حزمة الإحياء الأسطورية,पुनर्जीवन बंडल लेजेंड,Efsanevi Yeniden Canlanma Paketi
Revive Bundle Max,Text,,Revive Bundle Max,리바이브 번들 맥스,リバイブバンドルマックス,Wiederbelebungspaket Max,Paquete de reanimación Max,Pacote de reviver Max,Gói hồi sinh Max,Пакет возрождения Макс,Paket hidup kembali Max,ชุดฟื้นคืนชีพ Max,Pack de réanimation Max,حزمة الإحياء ماكس,पुनर्जीवन बंडल मैक्स,Maksimum Yeniden Canlanma Paketi
Revive Bundle Plus,Text,,Revive Bundle Plus,리바이브 번들 플러스,リバイブバンドルプラス,Wiederbelebungspaket Plus,Paquete de reanimación Plus,Pacote de reviver Plus,Gói hồi sinh Plus,Пакет возрождения Плюс,Paket hidup kembali Plus,ชุดฟื้นคืนชีพ Plus,Pack de réanimation Plus,حزمة الإحياء بلس,पुनर्जीवन बंडल प्लस,Yeniden Canlanma Paketi Plus
Revive Bundle Pro,Text,,Revive Bundle Pro,리바이브 번들 프로,リバイブバンドルプロ,Wiederbelebungspaket Pro,Paquete de reanimación Pro,Pacote de reviver Pro,Gói hồi sinh Pro,Пакет возрождения Про,Paket hidup kembali Pro,ชุดฟื้นคืนชีพ Pro,Pack de réanimation Pro,حزمة الإحياء برو,पुनर्जीवन बंडल प्रो,Yeniden Canlanma Paketi Pro
Revive Bundle Sale,Text,,Revive Bundle Sale,부활 번들 세일,リバイブバンドルセール,Angebot für Wiederbelebungs-Bundle,¡Oferta del paquete Revive!,Oferta do pacote Revive,Giảm giá Gói Hồi Sinh,Распродажа пакета Возрождения,Penjualan Revive Bundle,ลดราคาชุดฟื้นคืนชีพ,Vente du pack Revive,عرض حزمة الإحياء,रिवाइव बंडल सेल,Revive Paketi İndirimi
Revive Bundle Super Sale,Text,,Revive Bundle Super Sale,부활 번들 초특가,リバイブバンドル超セール,Superverkauf für Wiederbelebungs-Bundle,¡Súper oferta del paquete Revive!,Super oferta do pacote Revive,Gói Hồi Sinh siêu giảm giá,Суперраспродажа пакета Возрождения,Penjualan Super Revive Bundle,ขายพิเศษชุดฟื้นคืนชีพ,Super vente du pack Revive,عرض سوبر لحزمة الإحياء,रिवाइव बंडल सुपर सेल,Revive Paketi Süper İndirim
Reward!,Text,,Reward!,보상!,報酬！,Belohnung!,¡Recompensa!,Recompensa!,Phần thưởng!,Награда!,Hadiah!,รางวัล!,Récompense !,المكافأة!,इनाम!,Ödül!
Safety Net Bundle,Text,,Safety Net Bundle,세이프티 넷 번들,セーフティネットバンドル,Sicherheitsnetz-Paket,Paquete red de seguridad,Pacote rede de segurança,Gói cứu trợ,Набор «Страховка»,Paket Jaring Pengaman,ชุดตาข่ายนิรภัย,Pack filet de sécurité,حزمة شبكة أمان,सेफ्टी नेट बंडल,Güvenlik Ağı Paketi
Salad,Text,,Salad,샐러드,サラダ,Salat,Ensalada,Salada,Salad,Салат,Salad,สลัด,Salade,سلطة,सलाद,Salata
Salmon,Text,,Salmon,연어,サーモン,Lachs,Salmón,Salmão,Cá hồi,Лосось,Salmon,ปลาแซลมอน,Saumon,سلمون,साल्मन,Somon
Satay,Text,,Satay,사테,サテ,Satay,Satay,Satay,Thịt xiên nướng Satay,Сате,Sate,สะเต๊ะ,Satay,ساتاي,साते,Satay
Save,Text,,Save,저장,保存,Speichern,Guardar,Salvar,Lưu,Сохранить,Simpan,บันทึก,Enregistrer,حفظ,सहेजें,Kaydet
Scallops,Text,,Scallops,가리비,ホタテ,Jakobsmuscheln,Vieiras,Vieiras,Sò điệp,Гребешки,Kerang kampak,หอยเชลล์,Coquilles Saint-Jacques,محار المروحة,स्कैलप्स,Deniz Tarağı
Score,Text,,Score,점수,スコア,Punkte,Puntuación,Pontuação,Điểm,Счёт,Skor,คะแนน,Score,النتيجة,स्कोर,Puan
Seafood,Text,,Seafood,해산물,シーフード,Meeresfrüchte,Mariscos,Frutos do mar,Hải sản,Морепродукты,Makanan laut,อาหารทะเล,Fruits de mer,مأكولات بحرية,समुद्री भोजन,Deniz Ürünleri
Search,Text,,Search,검색,検索,Suchen,Buscar,Pesquisar,Tìm kiếm,Поиск,Cari,ค้นหา,Rechercher,بحث,खोज,Ara
Secret items hide their color until sorted correctly,Text,,Secret items hide their color until sorted correctly,비밀 아이템은 올바르게 정렬될 때까지 색상이 숨겨집니다,シークレットアイテムは正しく仕分けるまで色が隠れています,"Geheime Gegenstände verbergen ihre Farbe, bis sie richtig sortiert sind",Los objetos secretos ocultan su color hasta que se ordenan correctamente,Os itens secretos ocultam sua cor até serem classificados corretamente,Vật phẩm bí mật sẽ ẩn màu cho tới khi sắp xếp đúng,"Секретные предметы скрывают цвет, пока их не отсортируют правильно",Item rahasia menyembunyikan warnanya sampai disortir dengan benar,ไอเท็มลับจะซ่อนสีไว้จนกว่าจะถูกจัดเรียงถูกต้อง,Les objets secrets cachent leur couleur tant qu’ils ne sont pas triés correctement,العناصر السرّية تُخفي لونها حتى يتم فرزها بشكل صحيح,गुप्त आइटम अपना रंग छिपाते हैं जब तक सही तरह से सॉर्ट न हों,Gizli eşyalar doğru sıralanana kadar renklerini gizler
Select Booster,Text,,Select Booster,부스터 선택,ブースターを選択,Booster auswählen,Seleccionar potenciador,Selecionar impulsionador,Chọn booster,Выберите бустер,Pilih Booster,เลือกบูสเตอร์,Sélectionne un booster,اختر المعزز,बूस्टर चुनें,Güçlendirici Seç
Select a grill to unlock with the Magic Key!,Text,,Select a grill to unlock with the Magic Key!,매직 키로 잠금 해제할 그릴을 선택하세요!,マジックキーで解除するグリルを選んでください！,"Wähle einen Grill, um ihn mit dem Zauberschlüssel zu entsperren!",¡Selecciona una parrilla para desbloquearla con la Llave Mágica!,Selecione uma grelha para desbloquear com a Chave Mágica!,Chọn bếp nướng đang khóa để mở bằng Chìa khóa ma thuật!,Выберите гриль для разблокировки Волшебным ключом!,Pilih panggangan untuk dibuka dengan Kunci Ajaib!,เลือกเตาย่างเพื่อปลดล็อกด้วยกุญแจวิเศษ!,Sélectionne un gril à déverrouiller avec la Clé magique !,اختر شواية لفتحها بالمفتاح السحري!,मैजिक की से अनलॉक करने के लिए एक ग्रिल चुनें!,Sihirli Anahtar ile açmak için bir ızgara seç!
Select any item to match,Text,,Select any item to match,매치할 아이템을 선택하세요,マッチするアイテムを選んでください,Wähle ein beliebiges Element zum Kombinieren,Selecciona cualquier objeto para emparejar,Selecione qualquer item para combinar,Chọn bất kỳ vật phẩm nào để ghép,Выберите любой предмет для совпадения,Pilih item apa pun untuk dicocokkan,เลือกไอเท็มใดก็ได้เพื่อจับคู่,Sélectionne n’importe quel objet à associer,اختر أي عنصر للمطابقة,मिलाने के लिए कोई भी आइटम चुनें,Eşleştirmek için herhangi bir öğe seç
Send,Text,,Send,보내기,送信,Senden,Enviar,Enviar,Gửi,Отправить,Kirim,ส่ง,Envoyer,إرسال,भेजें,Gönder
Send Card,Text,,Send Card,카드 보내기,カードを送る,Karte senden,Enviar tarjeta,Enviar carta,Gửi Thẻ,Отправить карту,Kirim Kartu,ส่งการ์ด,Envoyer une carte,إرسال بطاقة,कार्ड भेजें,Kart Gönder
Set Completed,Text,,Set Completed,세트 완료,セット完成,Set abgeschlossen,Colección completada,Conjunto concluído,Bộ sưu tập đã hoàn thành,Набор завершён,Set selesai,เซ็ตเสร็จสิ้น,Set complété,المجموعة اكتملت,सेट पूरा,Set Tamamlandı
Set Completed!,Text,,Set Completed!,세트 완료!,セット完成！,Set abgeschlossen!,¡Colección completada!,Conjunto concluído!,Hoàn thành bộ sưu tập!,Набор завершён!,Set selesai!,เซ็ตสมบูรณ์!,Set complété !,المجموعة اكتملت!,सेट पूरा!,Set Tamamlandı!
Sets Completed,Text,,Sets Completed,세트 완료,セット完了,Sets abgeschlossen,Conjuntos completados,Conjuntos Completos,Bộ Hoàn Thành,Наборы завершены,Set Selesai,เซ็ตครบแล้ว,Ensembles terminés,المجموعات المنتهية,सेट पूर्ण,Setler Tamamlandı
Shop,Text,,Shop,상점,ショップ,Shop,Tienda,Loja,Cửa hàng,Магазин,Toko,ร้านค้า,Boutique,المتجر,दुकान,Mağaza
Show your love by giving 5 stars!,Text,,Show your love by giving 5 stars!,5개 별로 사랑을 보여주세요!,5つ星で応援してね！,Zeig deine Liebe mit 5 Sternen!,¡Demuestra tu cariño con 5 estrellas!,Mostre seu carinho dando 5 estrelas!,Thể hiện sự ủng hộ bằng 5 sao nhé!,"Покажи свою поддержку, поставив 5 звёзд!",Tunjukkan dukunganmu dengan memberi 5 bintang!,แสดงความรักด้วยการให้ 5 ดาว!,Montre ton soutien en donnant 5 étoiles !,أظهر حبك بمنح 5 نجوم!,5 सितारे देकर अपना समर्थन दिखाएँ!,5 yıldız vererek desteğini göster!
Shrimp Noodle,Text,,Shrimp Noodle,새우 국수,エビヌードル,Garnelen-Nudeln,Fideos con camarones,Macarrão com camarão,Mì tôm,Лапша с креветками,Mi udang,ก๋วยเตี๋ยวกุ้ง,Nouilles aux crevettes,نودلز بالروبيان,झींगा नूडल्स,Karidesli Erişte
Shrimp and Spinach,Text,,Shrimp and Spinach,새우와 시금치,エビとほうれん草,Garnelen und Spinat,Camarón y espinaca,Camarão e espinafre,Tôm và rau bina,Креветки и шпинат,Udang dan bayam,กุ้งผักโขม,Crevettes et épinards,روبيان وسبانخ,झींगा और पालक,Karides ve Ispanak
Shuffle,Text,,Shuffle,섞기,シャッフル,Mischen,Barajar,Embaralhar,Xáo trộn,Перемешать,Acak,สับเปลี่ยน,Mélanger,خلط,शफ़ल,Karıştır
Shuffle all food,Text,,Shuffle all food,모든 음식을 섞기,すべての食べ物をシャッフル,Alle Lebensmittel mischen,Barajar toda la comida,Embaralhar todos os alimentos,Xáo trộn tất cả món ăn,Перемешать всю еду,Acak semua makanan,สับเปลี่ยนอาหารทั้งหมด,Mélanger tous les aliments,اخلط كل الطعام,सभी भोजन शफ़ल करें,Tüm yiyecekleri karıştır
Silver Team Offer,Text,,Silver Team Offer,실버 팀 오퍼,シルバーチームオファー,Silber-Team-Angebot,Oferta de equipo de plata,Oferta da Equipe Prata,Ưu đãi Đội Bạc,Предложение серебряной команды,Penawaran Tim Perak,ข้อเสนอทีมเงิน,Offre Équipe Argent,عرض الفريق الفضي,सिल्वर टीम ऑफ़र,Gümüş Takım Teklifi
Single Grill,Text,,Single Grill,Single Grill,Single Grill,Single Grill,Single Grill,Single Grill,Bếp đơn,Одинарный гриль,Grill Tunggal,เตาย่างเดี่ยว,Gril simple,شواية مفردة,सिंगल ग्रिल,Tek Izgara
Skip,Text,,Skip,건너뛰기,スキップ,Überspringen,Omitir,Pular,Bỏ qua,Пропустить,Lewati,ข้าม,Passer,تخطي,स्किप,Atla
Skip Order,Text,,Skip Order,건너뛰기,スキップ,Überspringen,Omitir,Pular,Bỏ qua,Пропустить заказ,Lewati Pesanan,ข้ามออเดอร์,Passer la commande,تخطي الطلب,ऑर्डर स्किप,Siparişi Atla
Skip the order to continue,Text,,Skip the order to continue,주문을 건너뛰고 계속 진행하세요,注文をスキップして続ける,"Bestellung überspringen, um fortzufahren",Omitir pedido para continuar,Pular o pedido para continuar,Bỏ qua đơn hàng để tiếp tục,"Пропустите заказ, чтобы продолжить",Lewati pesanan untuk lanjut,ข้ามออเดอร์เพื่อเล่นต่อ,Passe la commande pour continuer,تجاوز الطلب للمتابعة,जारी रखने के लिए ऑर्डर स्किप करें,Devam etmek için siparişi atla
Slide To Watch,Text,,Slide To Watch,슬라이드하여 시청하기,スライドして見る,Zum Ansehen wischen,Desliza para ver,Deslize para assistir,Trượt để xem,"Проведи, чтобы смотреть",Geser untuk menonton,ปัดเพื่อดู,Fais glisser pour regarder,اسحب للمشاهدة,देखने के लिए स्लाइड करें,İzlemek için kaydır
Smokin' Hot!,Text,,Smokin' Hot!,화끈하다!,激アツ！,Megaheiß!,¡Está ardiente!,Pegando fogo!,Rực lửa!,Жарко!,Panas membara!,ร้อนแรงสุดๆ!,Ça chauffe !,ساخن جداً!,बहुत गर्म!,Ateş Gibi!
Social,Text,,Leaderboard,Leaderboard,Leaderboard,Leaderboard,Leaderboard,Leaderboard,Bảng Xếp Hạng,Таблица лидеров,Papan Peringkat,ตารางอันดับ,Classement,لوحة الصدارة,लीडरबोर्ड,Sıralama Tablosu
Soda Can,Text,,Soda Can,소다 캔,ソーダ缶,Limonadendose,Lata de refresco,Lata de refrigerante,Lon soda,Банка содовой,Kaleng soda,กระป๋องโซดา,Canette de soda,علبة صودا,सोडा कैन,Kola Kutusu
Some customers REALLY love spicy dishes!!!,Text,,Some customers REALLY love spicy dishes!!!,어떤 손님들은 정말로 매운 음식을 좋아해요!!!,スパイシー料理が本当に大好きなお客さんもいるよ!!!,Manche Kunden LIEBEN scharfe Gerichte!!!,¡Algunos clientes REALMENTE aman los platos picantes!,Alguns clientes REALMENTE amam pratos apimentados!!!,Một số khách hàng RẤT thích món cay!!!,Некоторые клиенты ДЕЙСТВИТЕЛЬНО любят острые блюда!!!,Beberapa pelanggan SANGAT menyukai makanan pedas!!!,บางลูกค้าชอบอาหารเผ็ดมากจริงๆ!!!,Certains clients ADORENT vraiment les plats épicés !!!,بعض الزبائن يحبون الأطباق الحارة حقًا!!!,कुछ ग्राहक वाकई मसालेदार व्यंजन पसंद करते हैं!!!,Bazı müşteriler GERÇEKTEN baharatlı yemekleri çok seviyor!!!
Sort 7 same items onto one tray,Text,,Sort 7 same items onto one tray,같은 아이템 7개를 한 쟁반에 정리하세요,同じアイテムを7つ1つのトレイにまとめよう,Sortiere 7 gleiche Gegenstände auf ein Fach,Ordena 7 objetos iguales en una bandeja,Organize 7 itens iguais em uma bandeja,Sắp xếp 7 món ăn giống nhau vào 1 khay,Отсортируйте 7 одинаковых предметов на один лоток,Sortir 7 item yang sama ke satu nampan,จัด 7 ไอเท็มเหมือนกันลงในถาดเดียว,Trie 7 objets identiques sur un seul plateau,افرز 7 عناصر متطابقة على صينية واحدة,7 समान आइटम एक ही ट्रे पर सॉर्ट करें,Aynı türden 7 öğeyi tek bir tepsiye sırala
Sort by delivery orders to earn bonus coins,Text,,Sort by delivery orders to earn bonus coins,배달 순서대로 정렬하여 보너스 코인을 받으세요,配達順に並べてボーナスコインを獲得しよう,"Sortiere nach Lieferreihenfolge, um Bonusmünzen zu verdienen",Ordena por pedidos de entrega para ganar monedas extra,Organize por pedidos de entrega para ganhar moedas bônus,Sắp xếp theo đơn để nhận thêm xu,"Сортируй по заказам доставки, чтобы заработать бонус‑монеты",Sortir berdasarkan pesanan pengiriman untuk dapat koin bonus,จัดตามออเดอร์เดลิเวอรีเพื่อรับเหรียญโบนัส,Trie selon les commandes de livraison pour gagner des pièces bonus,افرز حسب طلبات التوصيل لكسب عملات إضافية,डिलिवरी ऑर्डर्स के अनुसार सॉर्ट करें और बोनस कॉइन कमाएँ,Teslimat siparişlerine göre sırala ve bonus jetonlar kazan
Sort item to collect 2 golden keys to unlock the locked tray!,Text,,Sort item to collect 2 golden keys to unlock the locked tray!,아이템을 정렬하여 황금 열쇠 2개를 모아 잠긴 트레이를 해제하세요!,アイテムを並べて黄金の鍵を2本集め、ロックされたトレイを解除しよう！,"Ordne die Items, um 2 goldene Schlüssel zu sammeln und das gesperrte Tablett zu entsperren!",¡Ordena los objetos para reunir 2 llaves doradas y desbloquear la bandeja bloqueada!,Organize os itens para coletar 2 chaves douradas e desbloquear a bandeja bloqueada!,Sắp xếp vật phẩm để thu thập 2 chìa khóa vàng và mở khóa khay đang bị khóa!,"Отсортируй предметы, чтобы собрать 2 золотых ключа и открыть заблокированный лоток!",Urutkan item untuk mengumpulkan 2 kunci emas dan membuka baki yang terkunci!,จัดเรียงไอเท็มเพื่อเก็บกุญแจทอง 2 ดอกเพื่อปลดล็อกถาดที่ล็อกไว้!,Trie les objets pour collecter 2 clés dorées et déverrouiller le plateau verrouillé !,رتّب العناصر لجمع مفتاحين ذهبيين لفتح الصينية المقفلة!,आइटम को सॉर्ट करें ताकि 2 सुनहरी चाबियाँ इकट्ठा कर लॉक्ड ट्रे अनलॉक करें!,Kilitli tepsiyi açmak için 2 altın anahtar topla!
Sort item to collect silver keys to unlock the locked tray!,Text,,Sort item to collect silver keys to unlock the locked tray!,아이템을 정렬하여 은색 열쇠를 모아 잠긴 트레이를 해제하세요!,アイテムを並べて銀の鍵を集め、ロックされたトレイを解除しよう！,"Ordne die Items, um silberne Schlüssel zu sammeln und das gesperrte Tablett zu entsperren!",¡Ordena los objetos para reunir llaves plateadas y desbloquear la bandeja bloqueada!,Organize os itens para coletar chaves prateadas e desbloquear a bandeja bloqueada!,Sắp xếp vật phẩm để thu thập các chìa khóa bạc và mở khóa khay đang bị khóa!,"Отсортируй предметы, чтобы собрать серебряные ключи и открыть заблокированный лоток!",Urutkan item untuk mengumpulkan kunci perak dan membuka baki yang terkunci!,จัดเรียงไอเท็มเพื่อเก็บกุญแจเงินเพื่อปลดล็อกถาดที่ล็อกไว้!,Trie les objets pour collecter des clés argentées et déverrouiller le plateau verrouillé !,رتّب العناصر لجمع مفاتيح فضية وفتح الصينية المقفلة!,आइटम को सॉर्ट करें ताकि चांदी की चाबियाँ इकट्ठा कर लॉक्ड ट्रे अनलॉक करें!,Kilitli tepsiyi açmak için gümüş anahtarları topla!
Sort items instantly!,Text,,Sort items instantly!,아이템을 즉시 정렬!,アイテムを即座に並べ替え！,Sortiere Gegenstände sofort!,¡Ordena los objetos al instante!,Organize os itens instantaneamente!,Sắp xếp vật phẩm ngay lập tức!,Мгновенно сортируйте предметы!,Sortir item seketika!,จัดไอเท็มทันที!,Trie les objets instantanément !,افرز العناصر فورًا!,आइटम तुरंत सॉर्ट करें!,Eşyaları anında sırala!
Sort items onto the RED SPICY tray to complete the order!,Text,,Sort items onto the RED SPICY tray to complete the order!,빨간 매운 트레이에 아이템을 정리하여 주문을 완료하세요!,赤いスパイシートレイにアイテムを並べて注文を完成させよう！,"Sortiere die Gegenstände auf das ROTE SCHARFE Tablett, um die Bestellung abzuschließen!",¡Ordena los objetos en la BANDEJA ROJA PICANTE para completar el pedido!,Organize os itens na BANDEJA VERMELHA PICANTE para completar o pedido!,Sắp xếp vật phẩm vào khay ĐỎ CAY để hoàn thành đơn hàng!,"Разложи предметы на КРАСНЫЙ ОСТРЫЙ поднос, чтобы выполнить заказ!",Susun item di NAMPAN MERAH PEDAS untuk menyelesaikan pesanan!,จัดเรียงไอเท็มบนถาดสีแดงเผ็ดเพื่อทำคำสั่งให้เสร็จสิ้น!,Trie les objets sur le PLATEAU ROUGE ÉPICÉ pour compléter la commande !,رتب العناصر على الصينية الحمراء الحارة لإكمال الطلب!,लाल मसालेदार ट्रे पर आइटम सजाकर ऑर्डर पूरा करें!,Siparişi tamamlamak için eşyaları KIRMIZI BAHARATLI tepsiye yerleştir!
Sort items or watch Ad to unlock the tray!,Text,,Sort items or watch Ad to unlock the tray!,아이템을 정리하거나 광고를 보고 쟁반을 잠금 해제하세요!,アイテムを整理するか広告を見てトレイをアンロック！,"Ordne Gegenstände oder sieh dir Werbung an, um das Fach freizuschalten!",Ordena objetos o mira un anuncio para desbloquear la bandeja!,Organize itens ou assista a um anúncio para destrancar a bandeja!,Sắp xếp hoặc xem quảng cáo để mở khay!,"Отсортируйте предметы или посмотрите рекламу, чтобы разблокировать лоток!",Sortir item atau tonton iklan untuk membuka nampan!,จัดไอเท็มหรือดูโฆษณาเพื่อปลดล็อกถาด!,Trie les objets ou regarde une pub pour déverrouiller le plateau !,افرز العناصر أو شاهد إعلانًا لفتح الصينية!,आइटम सॉर्ट करें या विज्ञापन देखें और ट्रे अनलॉक करें!,Tepsiyi açmak için eşyaları sırala veya reklam izle!
Sort items to break ice layers. You can move the items once all the ice is cleared.,Text,,Sort items to break ice layers. You can move the items once all the ice is cleared.,아이템을 정리하여 얼음을 깨세요. 얼음이 모두 사라지면 아이템을 움직일 수 있습니다.,アイテムを整理して氷の層を壊しましょう。氷が全て消えると、アイテムを動かせます。,"Ordne Gegenstände, um Eisschichten zu brechen. Sobald alles Eis weg ist, kannst du die Gegenstände bewegen.",Ordena objetos para romper el hielo. Podrás moverlos una vez que se derrita.,Organize itens para quebrar o gelo. Você poderá movê-los quando o gelo acabar.,Sắp xếp để phá lớp băng. Có thể di chuyển khi băng tan.,"Сортируйте предметы, чтобы разбить слои льда. Вы сможете двигать их, когда весь лёд растает.",Sortir item untuk memecah lapisan es. Kamu bisa memindahkan item setelah semua es hilang.,จัดไอเท็มเพื่อทำลายน้ำแข็ง คุณจะขยับได้เมื่อชั้นน้ำแข็งหายหมด,Trie les objets pour briser la glace. Tu pourras les déplacer une fois toute la glace fondue.,افرز العناصر لكسر طبقات الجليد. يمكنك تحريكها بعد إزالة الجليد بالكامل.,आइटम सॉर्ट करके बर्फ की परतें तोड़ें। सारी बर्फ साफ होने पर आप उन्हें हिला पाएँगे।,Buz katmanlarını kırmak için eşyaları sırala. Bütün buzlar temizlendiğinde öğeleri hareket ettirebilirsin.
Sort items to break the chains on the locked tray,Text,,Sort items to break the chains on the locked tray,아이템을 정렬하여 잠긴 쟁반의 사슬을 끊으세요,アイテムを仕分けてロックされたトレーの鎖を壊そう,"Sortiere die Gegenstände, um die Ketten auf dem gesperrten Tablett zu lösen",Ordena los objetos para romper las cadenas de la bandeja bloqueada,Organize os itens para quebrar as correntes da bandeja bloqueada,Sắp xếp để phá khóa xích trên khay,"Сортируйте предметы, чтобы сломать цепи на заблокированном лотке",Sortir item untuk memutus rantai pada nampan terkunci,จัดไอเท็มเพื่อทำลายโซ่บนถาดที่ล็อก,Trie les objets pour briser les chaînes du plateau verrouillé,افرز العناصر لكسر السلاسل على الصينية المقفلة,लॉक ट्रे की जंजीरें तोड़ने के लिए आइटम सॉर्ट करें,Kilitli tepsideki zincirleri kırmak için eşyaları sırala
